Site,Longitude,Latitude,C14Age,C14Error,AgeCalBP,LabID,Database,Reference,Comment
Las Vegas (Sites M5A4-67 and OGSE-80),-80.92,-2.22,10130,40,12712,,,"Piperno, D. R., & Stothert, K. E. (2003). Phytolith evidence for early Holocene Cucurbita domestication in southwest Ecuador. Science, 299(5609), 1054-1057.","Cucurbita ecuadorensis, Cucurbita moschata"
San Isidro,-76.242,3.4187,10030,60,11536,Beta-93275,,"Piperno, D.R., Pearsall, D.M., 1998. The Origins of Agriculture in the Lowland Neotropics. Academic Press Inc, San Diego.","Maranta cf. arundinacea, xanthosoma/Ipomoea/Manihot sp.?"
Siches,-81.26,-4.49,9533,65,10790,BGS-2426,,"Piperno, D. R. (2011). The origins of plant cultivation and domestication in the New World tropics: patterns, process, and new developments. Current Anthropology, 52(S4), S453–S470.",Cucurbita sp.
Paredones,-79.3037,-7.9146,9330,40,10484,Beta-343109,,"Dillehay, T. D., Goodbred, S., Pino, M., Sánchez, V. F. V., Tham, T. R., Adovasio, J., ... & Velchoff, N. (2017). Simple technologies and diverse food strategies of the Late Pleistocene and Early Holocene at Huaca Prieta, Coastal Peru. Science Advances, 3(5), e1602778; Grobman, A., Bonavia, D., Dillehay, T. D., Piperno, D. R., Iriarte, J., & Holst, I. (2012). Preceramic maize from Paredones and Huaca Prieta, Peru. Proceedings of the National Academy of Sciences, 109(5), 1755 LP – 1759.","Cucurbita sp., Capsicum spp."
Isla Manechi,-66.1114,-13.7681,,,10372,,,"Lombardo, U., Iriarte, J., Hilbert, L., Ruiz-Pérez, J., Capriles, J. M., & Veit, H. (2020). Early Holocene crop cultivation and landscape modification in Amazonia. Nature, 581(7807), 190–193.",Manihot sp.
Peña Roja,-73.9626,0.8002,9160,90,10347,Beta-52963,,"Piperno, D.R., Pearsall, D.M., 1998. The Origins of Agriculture in the Lowland Neotropics. Academic Press Inc, San Diego.","Cucurbita sp., Lagenaria siceraria, Calathea allouia"
La Pochola,-75.6247,4.8878,9047,45,10192,LTL5436A,,"Aceituno, F.J., Loaiza, N., 2018. The origins and early development of plant food production and farming in Colombian tropical forests. Journal of Anthropological Archaeology 49, 161–172.","Zea mays, Manihot sp., xanthosoma sp., phaesolus sp., Dioscorea sp."
Forest island 575,-66.76,-14.17,8849,50,9858,BE-7633.1.1,,"Lombardo, U., Iriarte, J., Hilbert, L., Ruiz-Pérez, J., Capriles, J. M., & Veit, H. (2020). Early Holocene crop cultivation and landscape modification in Amazonia. Nature, 581(7807), 190–193.",Cucurbita sp.
Teotônio (RO-JP-01),-64.0611,-8.8655,8460,30,9460,Beta-474440,,"Watling, Jennifer, Myrtle P Shock, Guilherme Z Mongeló, Fernando O Almeida, Thiago Kater, Paulo E De Oliveira, and Eduardo G Neves. 2018. “Direct Archaeological Evidence for Southwestern Amazonia as an Early Plant Domestication and Food Production Centre.” PLoS One 13 (7): e0199868.",Calathea allouia?
Porce Valley (La Morena),-75.6,6.25,7730,170,8515,Beta-205296,,"Santos Vecino, G., Monsalve Marín, C. A., & Correa Salas, L. V. (2015). Alteration of tropical forest vegetation from the Pleistocene–Holocene transition and plant cultivation from the end of early Holocene through Middle Holocene in Northwest Colombia. Quaternary international, 363, 28-42.","Zea mays, Phaseolus spp."
Isla del Tesoro,-64.64,-14.94,7447,37,8253,D-AMS-032884,,"Lombardo, U., Iriarte, J., Hilbert, L., Ruiz-Pérez, J., Capriles, J. M., & Veit, H. (2020). Early Holocene crop cultivation and landscape modification in Amazonia. Nature, 581(7807), 190–193.","Manihot sp., Calathea sp."
St. John (Site SPA-11),-60.6167,11.3,6710,25,7812,UGAMS-12306,,"Pagán-Jiménez, J. R., Rodríguez-Ramos, R., Reid, B. A., van den Bel, M., & Hofman, C. L. (2015). Early dispersals of maize and other food plants into the Southern Caribbean and Northeastern South America. Quaternary Science Reviews, 123, 231-246.","Zea mays, Capsicum spp., marantaceae?, Dioscoreaceae?"
Tres Ventanas,-76.366667,-12.220833,6750,90,7578,OxA-1581,Andes 14C (Ziółkowski et al. 2023),"Ziółkowski, M.S., Pazdur, M.F., Krzanowski, A., Michczynski, A. (2023) Andes 14C Radiocarbon Database for Central Andes. https://andesc14.pl/en/.",Solanum tuberosum
Hacienda el Dorado,-76.47,3.88,6680,230,7550,,,"Piperno, D. R. (2011). The origins of plant cultivation and domestication in the New World tropics: patterns, process, and new developments. Current Anthropology, 52(S4), S453–S470.",Zea mays
Lake San Pablo,-78.22,0.22,,,6609,,,"Athens, J Stephen, Jerome V Ward, Deborah M Pearsall, Karol Chandler-Ezell, Dean W Blinn, and Alex E Morrison. 2016. “Early Prehistoric Maize in Northern Highland Ecuador.” Latin American Antiquity 27 (1): 3–21.",Zea mays
Lake Rogaguado,-65.9467,-13.0287,,,6500,,,"Brugger, Sandra O, Erika Gobet, Jacqueline F N van Leeuwen, Marie-Pierre Ledru, Daniele Colombaroli, W O van der Knaap, Umberto Lombardo, et al. 2016. “Long-Term Man–Environment Interactions in the Bolivian Amazon: 8000 Years of Vegetation Dynamics.” Quaternary Science Reviews 132: 114–28.","Zea mays, Cucurbita sp."
Agüerito,-66.3833,7.6,5680,165,6488,I-10009,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Justino,-37.8374,-9.593,5570,70,6362,Beta-86744,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Lake Sauce,-76.2178,-6.7047,,,6320,,,"Bush, M B, A Correa-Metrio, C H McMichael, S Sully, C R Shadik, B G Valencia, T Guilderson, M Steinitz-Kannan, and J T Overpeck. 2016. “A 6900-Year History of Landscape Modification by Humans in Lowland Amazonia.” Quaternary Science Reviews 141: 52–64.",Zea mays
Barabina,-59.8169,8.2085,5460,65,6248,SI-5743,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Boca Rio Ica,-75.554167,-14.866667,5430,140,6164,Birm-513,Andes 14C (Ziółkowski et al. 2023),"Ziółkowski, M.S., Pazdur, M.F., Krzanowski, A., Michczynski, A. (2023) Andes 14C Radiocarbon Database for Central Andes. https://andesc14.pl/en/.",
Eva 2,-52.83,5.3,5125,55,5818,ETH-31229,,"Pagán-Jiménez, J. R., Rodríguez-Ramos, R., Reid, B. A., van den Bel, M., & Hofman, C. L. (2015). Early dispersals of maize and other food plants into the Southern Caribbean and Northeastern South America. Quaternary Science Reviews, 123, 231-246.","Zea mays, Ipomoea batatas"
Nova Olinda,-60.4096,-5.4997,4965,65,5699,SI-6573,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Toca do João do Leite,-42.7433,-8.7381,4970,50,5694,Beta-220089,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Kabakaburi,-58.73,7.24,4890,75,5632,SI-7019,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Alcobaça,-37.1942,-8.54,4851,30,5587,,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Abeja,-72.3991,-0.6076,4695,40,5401,GrN-14987,,"Mora, S., L.F. Herrera, I. Cavelier, and C. Rodríguez. 1991. Cultivars, Anthropic Soils and Stability: A Preliminary Report of Archaeological Research in Araracuara. Pennsylvania: University of Pittsburgh.","Zea mays, Manihot esculenta"
